Nome|Difficolta|Costo|Diete|Ingredienti
Polpette di tonno e patate|Facile||Senza lattosio; |Tonno al naturale; Patate; Timo; Salvia; Sale fino; Pepe nero; Scorza di limone; Uova; Pangrattato; Olio di semi; 

Bombe di patate veloci|Facile|Basso||Patate; Farina 00; Lievito istantaneo per preparazioni salate; Uova; Sale fino; Prosciutto cotto; Scamorza affumicata; Origano; Olio di semi di girasole; Sale di maldon; 

Flan di zucca|Media|Basso|Senza glutine; Vegetariano; |Zucca delica; Parmigiano Reggiano DOP; Aglio; Salvia; Latte intero; Panna fresca liquida; Uova; Gorgonzola; Latte intero; Panna fresca liquida; Burro; 

Cozze alla marinara|Facile|Basso|Senza glutine; Senza lattosio; |Cozze; Aglio; Prezzemolo; Vino bianco; Olio extravergine d'oliva; 

Polpette di cavolfiore e curcuma|Facile|Basso|Vegetariano; |Cavolfiore; Curcuma in polvere; Rosmarino; Pane; Parmigiano Reggiano DOP; Uova; Latte intero; Aglio; Pangrattato; Sale fino; Olio di semi di arachide; 

Empanadas argentine|Media|Basso|Senza lattosio; |Farina 00; Acqua; Strutto; Aceto di vino bianco; Sale fino; Carne bovina; Cipolle ramate; Peperoni rossi; Uova sode; Olive verdi; Olio extravergine d'oliva; Strutto; Cumino in polvere; Origano; Sale fino; Pepe nero; Olio di semi di girasole; 

Focaccia arrotolata|Media|Medio|Senza lattosio; Vegetariano; |Farina Manitoba; Farina 00; Acqua; Olio extravergine d'oliva; Lievito di birra fresco; Sale fino; Pomodorini secchi sottolio; Olive verdi; Olive nere; Origano; Fiocchi di sale; Olio extravergine d'oliva; 

Cipolline in agrodolce|Molto facile|Basso|Senza glutine; Vegetariano; |Cipolle borettane; Aceto di mele; Zucchero di canna; Burro; Acqua; Timo; Sale fino; Pepe nero; 

Polpette di lenticchie|Facile|Molto basso|Vegetariano; Senza lattosio; |Lenticchie secche; Grana Padano DOP; Patate; Aglio; Sale fino; Pepe nero; Uova; Pangrattato; Olio di semi di arachide; 

Polpette di quinoa, zucchine e stracchino|Facile||Vegetariano; |Quinoa; Acqua; Olio extravergine d'oliva; Sale fino; Zucchine; Stracchino; Parmigiano Reggiano DOP; Pangrattato; Uova; Scorza di limone; Erba cipollina; Olio extravergine d'oliva; Olio di semi; Sale fino; Pepe nero; 

Frittatine di pasta napoletane|Media|Medio||Bucatini; Prosciutto cotto; Piselli surgelati; Aglio; Olio extravergine d'oliva; Olio di semi di arachide; Sale fino; Farina 00; Burro; Latte intero; Sale fino; Noce moscata; Acqua; Farina 00; 

Pollo fritto con maionesi veloci|Facile|Medio|Senza lattosio; |Petto di pollo; Rosmarino; Succo di limone; Scorza di limone; Olio extravergine d'oliva; Sale fino; Pepe nero; Paprika affumicata; Latte di soia; Aceto di riso; Wasabi; Erba cipollina; Tabascoa; Sale fino; Senape di Digione; Miele di acacia; Olio di semi; Farina 00; Corn flakes; Uova; Rosmarino; Olio di semi; 

Peperoni con la mollica|Facile|Basso|Vegetariano; |Peperoni rossi; Peperoni gialli; Olio extravergine d'oliva; Pane raffermo; Pecorino; Capperi; Origano; Aglio; 

Crocchette di patate al forno|Facile|Basso|Vegetariano; |Patate rosse; Tuorli; Noce moscata; Pepe nero; Sale fino; Parmigiano Reggiano DOP; Uova; Pangrattato; Olio extravergine d'oliva; 

Mini cheesecake al salmone|Molto facile||Cracker; Burro; Formaggio fresco spalmabile; Ricotta vaccina; Salmone affumicato; Gelatina in fogli; Panna fresca liquida; Sale fino; Salmone affumicato; Aneto; 

Avocado, uova e salmone|Facile|Basso|Senza glutine; Senza lattosio; |Avocado; Uova; Salmone affumicato; Erba cipollina; Lime; Sale fino; Pepe nero; Pepe rosa in grani; Olio extravergine d'oliva; 

Danubio di patate|Media|Basso||Patate; Farina 00; Uova; Lievito di birra fresco; Olio di semi di arachide; Sale fino; Prosciutto cotto; Provola; Olive taggiasche; Tuorli; Latte intero; Olio extravergine d'oliva; 

Anelli di cipolla in pastella|Facile|Basso|Vegetariano; |Cipolle; Farina 00; Lievito istantaneo per preparazioni salate; Uova; Latte intero; Olio extravergine d'oliva; Sale fino; Olio di semi di arachide; 

Peperoni ripieni vegetariani|Facile|Basso|Senza glutine; Vegetariano; |Peperoni; Patate; Zucchine; Pomodorini; Scamorza (provola); Timo; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Babaganoush|Facile|Basso|Senza lattosio; Vegetariano; Light; |Melanzane; Tahina; Succo di limone; Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; Menta; 

Polenta fritta|Facile|Basso|Senza lattosio; Vegetariano; |Farina di mais fioretto; Acqua; Olio extravergine d'oliva; Rosmarino; Sale grosso; Olio di semi; 

Tortino di patate alla pizzaiola|Facile|Basso|Vegetariano; |Patate; Passata di pomodoro; Mozzarella; Parmigiano Reggiano DOP; Olio extravergine d'oliva; Cipolle dorate; Sale fino; Farina 00; Basilico; 

One-pot parmigiana|Facile|Medio|Senza glutine; Vegetariano; |Melanzane ovali nere; Caciocavallo; Passata di pomodoro; Acqua; Cipolle dorate; Olio extravergine d'oliva; Parmigiano Reggiano DOP; Sale grosso; Sale fino; Pepe nero; Basilico; 

Polpette fritte rustiche|Molto facile|Basso||Manzo; Pane casereccio; Mortadella; Salsiccia; Grana Padano DOP; Pecorino; Uova; Prezzemolo; Aglio; Finocchietto selvatico; Pepe nero; Noce moscata; Sale fino; Pangrattato; Olio di semi di arachide; 

Pasticcio di patate e pancetta|Facile|Medio||Patate; Cipolle bianche; Pancetta affumicata; Asiago; Sale fino; Pepe nero; Timo; Farina 00; Burro; Latte intero; Sale fino; Noce moscata; 

Gamberi gratinati|Facile|Basso|Senza lattosio; Light; |Gamberi; Sale fino; Vino bianco; Pangrattato; Grana Padano DOP; Olio extravergine d'oliva; Prezzemolo; Aglio; Sale fino; 

Insalata allo yogurt con salmone e gamberetti|Molto facile|Medio|Senza glutine; |Yogurt bianco naturale; Salmone affumicato; Gamberetti; Succo di limone; Pepe nero; Olio extravergine d'oliva; Erba cipollina; Radicchio; Sale fino; Lattuga iceberg; 

Muffin ai peperoni|Facile|||Peperoni rossi; Latte intero; Farina 00; Olio di semi di girasole; Parmigiano Reggiano DOP; Lievito istantaneo per preparazioni salate; Uova; Capperi sotto sale; Provola; Acciughe sott'olio; Sale fino; Pepe nero; 

Fagottini ai broccoli e ricotta|Facile|Basso||Pasta Sfoglia; Broccoli; Patate; Ricotta vaccina; Salsiccia; Sale fino; Pepe nero; Olio extravergine d'oliva; Rosmarino; Aglio; Tuorli; 

Taralli sugna e pepe|Media|Medio|Senza lattosio; |Acqua; Farina 00; Lievito di birra fresco; Zucchero; Farina 00; Acqua; Strutto; Mandorle; Pepe nero; Sale fino; Mandorle; 

Polpettine di melanzane con cuore di scamorza|Facile|Medio|Vegetariano; |Melanzane; Provola affumicata; Pane raffermo; Pecorino; Uova; Pangrattato; Prezzemolo; Sale fino; Pepe nero; Olio di semi di arachide; 

Tortini di verdure e formaggio|Facile|Basso|Vegetariano; |Patate; Zucchine; Peperoni rossi; Uova; Scamorza affumicata; Sale fino; Pepe nero; Burro; Parmigiano Reggiano DOP; Pangrattato; Olio extravergine d'oliva; 

Naan|Facile|Molto basso|Vegetariano; |Farina 00; Yogurt bianco naturale; Acqua; Sale fino; Lievito di birra fresco; 

Avocado ripieno|Facile|Medio|Senza lattosio; |Avocado; Pomodori cuore di bue; Succo di limone; Scorza di limone; Mandorle in scaglie; Olio extravergine d'oliva; Sale fino; Pepe nero; Menta; Gamberetti; Miele di acacia; Salsa di soia; Scorza di limone; 

Zucchine fritte|Molto facile|Molto basso|Senza lattosio; Vegetariano; |Zucchine; Sale grosso; Farina 00; Olio di semi di arachide; 

Grissini tricolore|Media|Basso|Senza lattosio; Vegetariano; |Farina 00; Farina di grano duro; Triplo concentrato di pomodoro; Acqua; Lievito di birra fresco; Olio extravergine d'oliva; Sale fino; Farina 00; Farina di grano duro; Acqua; Lievito di birra fresco; Olio extravergine d'oliva; Sale fino; Farina 00; Farina di grano duro; Spinaci; Lievito di birra fresco; Olio extravergine d'oliva; Sale fino; Acqua; Semi di sesamo; 

Pettole|Molto facile|Molto basso|Senza lattosio; Vegetariano; |Farina 00; Acqua; Lievito di birra fresco; Sale fino; Olio di semi; 

Mini muffin salati ricotta e speck|Facile|Basso||Ricotta vaccina; Speck; Farina 00; Uova; Grana Padano DOP; Lievito istantaneo per preparazioni salate; Erba cipollina; Olio di semi; Pepe nero; Sale fino; Olio extravergine d'oliva; 

Polpo ubriaco|Molto facile|Medio|Senza glutine; Senza lattosio; |Polpo; Aglio; Vino; Alloro; Peperoncino; Olio di oliva; Prezzemolo; Sale; 

Torta 7 vasetti salata|Facile|Basso||Yogurt bianco naturale; Farina 00; Amido di mais (maizena); Latte intero; Grana Padano DOP; Olio di semi di girasole; Lievito istantaneo per preparazioni salate; Uova; Sale fino; Scamorza (provola); Salame napoletano; Olive verdi; Timo; Maggiorana; 

Tartufini di formaggio ai quattro colori|Facile||Senza glutine; Vegetariano; |Ricotta vaccina; Grana Padano DOP; Fontina; Groviera; Gorgonzola; Semi di sesamo; Semi di papavero; Erba cipollina; Peperoncino in polvere; 

Muffin con feta e salmone|Molto facile|Basso||Feta; Salmone; Latte intero; Uova; Farina 00; Grana Padano DOP; Lievito istantaneo per preparazioni salate; Olio di semi; Erba cipollina; Sale fino; Pepe nero; 

Polpette di pollo|Facile|Basso||Pollo; Mozzarella; Pangrattato; Parmigiano Reggiano DOP; Uova; Origano; Sale fino; Pepe nero; Uova; Pangrattato; Olio di semi; 

Tartare di tonno|Facile|Medio||Tonno; Arance; Olio extravergine d'oliva; Sale fino; Pepe nero; Pasta brisa; Finocchietto selvatico; 

Patatas bravas|Molto facile|Molto basso|Senza glutine; Senza lattosio; Vegetariano; |Patate; Paprika dolce; Passata di pomodoro; Aceto di vino rosso; Olio extravergine d'oliva; Pepe nero; Sale fino; 

Torta salata alla barbabietola|Molto facile|Medio|Vegetariano; |Pasta Sfoglia; Barbabietole precotte; Gorgonzola; Timo; Sale fino; Pepe nero; Uova; 

Pane azzimo|Molto facile|Molto basso|Senza lattosio; Vegetariano; Light; |Acqua; Farina 00; 

Grissini veloci di sfoglia al pomodoro|Molto facile||Senza lattosio; Vegetariano; |Pasta Sfoglia; Triplo concentrato di pomodoro; Origano; Timo; Semi di sesamo; Semi di papavero; 

Gamberi in crosta|Facile|Medio||Gamberi; Pasta Sfoglia; Uova; Semi di sesamo nero; Semi di sesamo; Semi di girasole; Olio extravergine d'oliva; Sale fino; Pepe nero; Yogurt greco; Menta; Succo di limone; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Crocchette di patate e speck|Facile|Basso|Senza lattosio; |Patate; Speck; Uova; Grana Padano DOP; Prezzemolo; Noce moscata; Sale fino; Pepe nero; Uova; Pangrattato; Olio di semi di arachide; 

Mozzarella ripiena|Molto facile||Senza glutine; Vegetariano; |Mozzarella; Pomodorini ciliegino; Basilico; Origano; Sale fino; Olio extravergine d'oliva; Pepe nero; 

Sformatini di carciofi con salsa al Parmigiano|Media|Medio|Vegetariano; |Carciofi; Cipolle; Parmigiano Reggiano DOP; Brodo vegetale; Uova; Olio extravergine d'oliva; Sale fino; Pepe bianco; Farina 00; Latte intero; Burro; Sale fino; Noce moscata; Panna fresca liquida; Parmigiano Reggiano DOP; Pepe bianco; Sale fino; Parmigiano Reggiano DOP; 

Ciambelle salate veloci|Facile|Basso||Farina 00; Acqua; Lievito istantaneo per preparazioni salate; Olio extravergine d'oliva; Sale fino; Carote; Zucchine; Fontina; Prosciutto cotto; Panna fresca liquida; 

Avocado toast|Media|Medio|Senza lattosio; |Pane casereccio; Salmone affumicato; Olio extravergine d'oliva; Avocado; Succo di limone; Sale fino; Pepe nero; Uova; Aceto di vino bianco; Scorza di limone; Timo; Olio extravergine d'oliva; 

Rotolo ricotta e spinaci|Facile|Basso|Senza glutine; Vegetariano; |Uova; Ricotta vaccina; Grana Padano DOP; Sale fino; Olio extravergine d'oliva; Ricotta vaccina; Timo; Spinaci; Olio extravergine d'oliva; Aglio; Sale fino; Pepe nero; 

Danubio tricolore|Difficile|Medio||Farina Manitoba; Latte intero; Basilico; Tuorli; Olio extravergine d'oliva; Zucchero; Sale fino; Lievito di birra secco; Farina Manitoba; Latte intero; Triplo concentrato di pomodoro; Tuorli; Olio extravergine d'oliva; Zucchero; Sale fino; Lievito di birra secco; Farina Manitoba; Latte intero; Tuorli; Zucchero; Sale fino; Lievito di birra secco; Provola; Prosciutto cotto; Albumi; Olio extravergine d'oliva; 

Nachos|Media|Basso|Vegetariano; |Farina di mais giallo; Acqua; Sale fino; Peperoncini Jalapeno; Edamer; Olio di semi di arachide; 

Souffla  al formaggio|Media|Basso|Vegetariano; |Burro; Sale fino; Noce moscata; Parmigiano Reggiano DOP; Emmentaler; Farina 00; Latte intero; Uova; Olio extravergine d'oliva; Pepe nero; 

Polpettine di carciofi con cuore filante|Facile|Basso|Vegetariano; |Carciofi; Montasio; Uova; Prezzemolo; Pane; Limoni; Grana Padano DOP; Aglio; Sale fino; Pepe nero; Uova; Pangrattato; Olio di semi; 

Panini delle feste|Facile|Medio||Farina Manitoba; Acqua; Olio extravergine d'oliva; Sale fino; Lievito di birra fresco; Malto; Pancetta; Gherigli di noci; Olive verdi; Rosmarino; Semi di papavero; Semi di sesamo; Latte intero; 

Coni di bresaola e formaggio|Molto facile|||Bresaola; Formaggio fresco spalmabile; Erba cipollina; Pepe bianco; Rucola; 

Crostata di patate|Facile|Basso||Patate; Prosciutto cotto; Edamer; Gorgonzola; Panna fresca liquida; Uova; Timo; Sale fino; Pepe nero; 

Friggitelli ripieni vegetariani|Facile|Basso|Vegetariano; Senza lattosio; |Friggitelli; Pangrattato; Pomodori ramati; Pomodori secchi sott'olio; Parmigiano Reggiano DOP; Basilico; Sale fino; Olio extravergine d'oliva; 

Flan di Bettelmatt|Media|Medio||Bettelmatt; Panna fresca liquida; Tuorli; Uova; Pere; Panna fresca liquida; Burro; Mirtilli; Cipolle; Zucchero; Acqua; Sale fino; Chiodi di garofano macinati; Cannella in polvere; Pimento; Pepe nero; Aceto di mele; Mirtilli; Sedano rapa; Pepe verde; 

Focaccia con cipolle rosse e tonno|Facile|Basso|Senza lattosio; |Farina Manitoba; Farina 00; Lievito di birra secco; Miele; Olio extravergine d'oliva; Acqua; Sale fino; Cipolle rosse di Tropea; Tonno sott'olio; Olio extravergine d'oliva; Sale grosso; 

Barchette croccanti con mousse di tonno|Facile||Tonno sott'olio; Pasta fillo; Panna fresca liquida; Ricotta vaccina; Burro; Scorza di limone; Maggiorana; Sale fino; Pepe nero; 

Polpette di cavolfiore|Facile|Basso|Vegetariano; |Cavolfiore; Patate; Uova; Grana Padano DOP; Timo; Sale fino; Pepe nero; Pangrattato; Uova; Olio di semi di arachide; Panna acida; Erba cipollina; 

Felafel con hummus veloce e salsa allo yogurt|Facile|Basso|Vegetariano; |Ceci secchi; Cipolle bianche; Aglio; Cumino; Prezzemolo; Sale fino; Pepe nero; Ceci precotti; Tahina; Yogurt greco; Prezzemolo; Tabascoa; Paprika affumicata; Sale; Pepe nero; Yogurt greco; Menta; Succo di limone; Olio extravergine d'oliva; Sale fino; Pepe nero; Olio di semi; 

Strudel di verdure|Facile|Basso|Vegetariano; |Farina 00; Burro; Acqua; Melanzane; Carote; Zucchine; Peperoni; Cipolle; Emmentaler; Olio extravergine d'oliva; Sale fino; Uova; Brodo vegetale; Pepe nero; 

Uova alla monachina|Media|Basso|Vegetariano; |Uova; Latte intero; Farina 00; Parmigiano Reggiano DOP; Burro; Sale fino; Pepe nero; Pangrattato; Farina 00; Uova; Olio di semi di arachide; 

Pirozhki|Facile|Medio|Vegetariano; |Farina Manitoba; Latte intero; Uova; Burro; Lievito di birra fresco; Sale fino; Zucchero; Cipolle ramate; Uova; Olio extravergine d'oliva; Sale fino; Pepe nero; Tuorli; Latte intero; 

Cracker|Facile|Basso|Senza lattosio; Vegetariano; |Farina 00; Olio extravergine d'oliva; Lievito di birra secco; Sale fino; Acqua; Olio extravergine d'oliva; Acqua; Sale fino; 

Involtini di peperoni al forno|Facile|Basso|Light; |Peperoni gialli; Peperoni rossi; Pangrattato; Acciughe sotto sale; Prezzemolo; Capperi sott'aceto; Basilico; Sale fino; Pepe nero; Aglio; Mozzarella; Olio extravergine d'oliva; 

Sarde in saor|Media|Medio|Senza lattosio; |Sarde; Cipolle bianche; Aceto di vino bianco; Alloro; Sale fino; Pinoli; Uva passa; Olio di semi di girasole; Farina 00; Olio di semi di girasole; 

Conetti salati con mousse di mortadella|Facile|Basso||Pasta Sfoglia; Mortadella; Formaggio fresco spalmabile; Panna fresca liquida; Latte intero; Pistacchi non salati; 

Panzanella|Molto facile||Senza lattosio; Vegetariano; |Pane toscano; Pomodori ramati; Cetrioli; Cipolle rosse; Basilico; Acqua; Aceto di vino bianco; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Caprese Fingerfood|Facile|Basso||Pomodori di Pachino; Gelatina in fogli; Olio extravergine d'oliva; Basilico; Sale fino; Pepe nero; Stracciatella; Ricotta vaccina; Basilico; Sale fino; 

Filetto di tonno in crosta di noci e pistacchi|Facile||Senza lattosio; |Tonno; Noci; Pistacchi; Salsa di soia; 

Rustici|Facile|Basso||Pasta Sfoglia; Wurstel; Scamorza (provola); Pasta Sfoglia; Tonno sott'olio; Olive nere; Pasta Sfoglia; Spinaci; Prosciutto cotto; Emmentaler; Olio extravergine d'oliva; Sale fino; Tuorli; Latte intero; Semi di sesamo; Semi di papavero; 

Frittata primavera|Facile|Basso|Senza glutine; Senza lattosio; Vegetariano; |Uova; Peperoni rossi; Peperoni gialli; Carote; Asparagi; Porri; Aglio; Timo; Maggiorana; Finocchietto selvatico; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Cotolette di melanzane alla parmigiana|Media|Medio|Vegetariano; |Passata di pomodoro; Melanzane tonde; Olio extravergine d'oliva; Sale fino; Aglio; Parmigiano Reggiano DOP; Basilico; Fiordilatte; Pangrattato; Uova; Olio di semi; 

Crocchette di salmone e patate|Facile|Medio|Senza lattosio; |Filetto di salmone; Patate; Cipollotto fresco; Aneto; Erba cipollina; Pangrattato; Pepe nero; Sale fino; Uova; 

Pate' di fegato|Media|Medio||Fegatini di pollo; Cipolle bianche; Marsala; Cognac; Olio extravergine d'oliva; Maggiorana; Scorza di limone; Pepe nero; Burro; Gelatina; Acqua; Capperi; Cetriolini sottaceto; Olive; 

Biscotti con parmigiano e pecorino|Molto facile|Basso|Vegetariano; |Parmigiano Reggiano DOP; Pecorino; Farina 00; Burro; Latte intero; Sale fino; Pepe nero; Parmigiano Reggiano DOP; Pepe nero; 

Sfoglie capresi|Molto facile||Vegetariano; |Pasta Sfoglia; Pomodorini datterini; Mozzarella; Origano; Basilico; Olio extravergine d'oliva; Sale fino; 

Tonno sott'olio|Media||Senza glutine; Senza lattosio; |Tonno; Olio extravergine d'oliva; Acqua; Sale fino; Ginepro; Alloro; 

Tris di tartine|Molto facile|||Pancarra; Ricotta vaccina; Stracchino; Scorza di limone; Olio extravergine d'oliva; Sale fino; Pepe nero; Salmone affumicato; Erba cipollina; Pepe rosa; Mortadella; Granella di pistacchi; Pomodori secchi sott'olio; Mandorle in scaglie; Timo; Pepe nero; 

Pesce finto|Facile|Basso|Senza glutine; |Patate; Tonno sott'olio; Prezzemolo; Timo; Aneto; Pepe bianco; Sale fino; Scorza di limone; Pepe rosa in grani; Pepe nero in grani; Timo; Patate; Olio extravergine d'oliva; Burro; 

Crema fritta|Media|Basso|Vegetariano; |Latte intero; Tuorli; Zucchero; Amido di mais (maizena); Farina 00; Scorza di limone; Baccello di vaniglia; Pangrattato; Uova; Olio di semi di arachide; 

Polpo alla galiziana (pulpo a la gallega)|Facile|Basso|Senza glutine; Senza lattosio; |Patate; Polpo; Sale grosso; Cipolle; Prezzemolo; Peperoncino in polvere; Peperoncino in polvere; Olio extravergine d'oliva; 

Melanzane a beccafico|Facile|Basso|Vegetariano; |Melanzane; Pangrattato; Pecorino; Uvetta; Pinoli; Olio extravergine d'oliva; Prezzemolo; Sale fino; Pepe nero; 
